     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         0,         0,   0.071,bposd,0303a22be9c90e4634d6ed94e1115e4012a95cd8a1b9979245877e9feaf1effc,"{""d"":5,""p"":0.001,""rounds"":5}",
       100,         0,         0,   0.071,belief_find,f90f70d60fa9beeee341f8969140c3901765bb9acc52e3d3c95e57a888f45f5e,"{""d"":5,""p"":0.001,""rounds"":5}",
       100,         0,         0,   0.091,bplsd,3b2569d9ff63647da56695e66b884acaa0452b670b0fbc9c1122560d2d340c8f,"{""d"":5,""p"":0.001,""rounds"":5}",
       200,         0,         0,   0.049,bposd,0303a22be9c90e4634d6ed94e1115e4012a95cd8a1b9979245877e9feaf1effc,"{""d"":5,""p"":0.001,""rounds"":5}",
       100,         0,         0,   0.072,bposd,a6afccb7294493f5ebb587a4c0f1846a65cb089d9735ad505939fff73351089c,"{""d"":5,""p"":0.003,""rounds"":5}",
       100,         0,         0,   0.046,bposd,0303a22be9c90e4634d6ed94e1115e4012a95cd8a1b9979245877e9feaf1effc,"{""d"":5,""p"":0.001,""rounds"":5}",
       200,         0,         0,   0.107,bposd,0303a22be9c90e4634d6ed94e1115e4012a95cd8a1b9979245877e9feaf1effc,"{""d"":5,""p"":0.001,""rounds"":5}",
       100,         0,         0,   0.209,bplsd,61cf5320c039e179cdd7a92e66e98f692928376cd8fed7c741e84cd32173b318,"{""d"":7,""p"":0.001,""rounds"":7}",
       100,         0,         0,   0.232,belief_find,ea71f1193f8060a70b018df6e25b44c84bee3e8b38deddf3cc40d5df8e7a72af,"{""d"":7,""p"":0.001,""rounds"":7}",
       100,         0,         0,   0.255,bposd,0e10ed2d206f476850b002e6e2c1e74f86e5ab874b0fb9cb7b34979d21f7660d,"{""d"":7,""p"":0.001,""rounds"":7}",
       600,         1,         0,   0.169,bposd,0303a22be9c90e4634d6ed94e1115e4012a95cd8a1b9979245877e9feaf1effc,"{""d"":5,""p"":0.001,""rounds"":5}",
       600,         0,         0,   0.141,bposd,0303a22be9c90e4634d6ed94e1115e4012a95cd8a1b9979245877e9feaf1effc,"{""d"":5,""p"":0.001,""rounds"":5}",
