     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       100,         0,         0,   0.010,bposd,c6fc65f645963e36d462847ac4bf2a6f7e049c380822c760043798864d548a9a,"{""d"":3,""p"":0.001,""rounds"":3}",
       200,         0,         0,   0.006,bposd,c6fc65f645963e36d462847ac4bf2a6f7e049c380822c760043798864d548a9a,"{""d"":3,""p"":0.001,""rounds"":3}",
       600,         1,         0,   0.011,bposd,c6fc65f645963e36d462847ac4bf2a6f7e049c380822c760043798864d548a9a,"{""d"":3,""p"":0.001,""rounds"":3}",
      1800,         4,         0,   0.022,bposd,c6fc65f645963e36d462847ac4bf2a6f7e049c380822c760043798864d548a9a,"{""d"":3,""p"":0.001,""rounds"":3}",
      5400,         9,         0,   0.060,bposd,c6fc65f645963e36d462847ac4bf2a6f7e049c380822c760043798864d548a9a,"{""d"":3,""p"":0.001,""rounds"":3}",
      1900,         2,         0,   0.024,bposd,c6fc65f645963e36d462847ac4bf2a6f7e049c380822c760043798864d548a9a,"{""d"":3,""p"":0.001,""rounds"":3}",
       100,         0,         0,   0.007,belief_find,a4af98a2348b63001f9d7a00f872c5e21389f41851d47b5b6066054da1405e10,"{""d"":3,""p"":0.001,""rounds"":3}",
       200,         1,         0,   0.008,belief_find,a4af98a2348b63001f9d7a00f872c5e21389f41851d47b5b6066054da1405e10,"{""d"":3,""p"":0.001,""rounds"":3}",
       600,         0,         0,   0.016,belief_find,a4af98a2348b63001f9d7a00f872c5e21389f41851d47b5b6066054da1405e10,"{""d"":3,""p"":0.001,""rounds"":3}",
      1800,         3,         0,   0.040,belief_find,a4af98a2348b63001f9d7a00f872c5e21389f41851d47b5b6066054da1405e10,"{""d"":3,""p"":0.001,""rounds"":3}",
      5400,         6,         0,   0.108,belief_find,a4af98a2348b63001f9d7a00f872c5e21389f41851d47b5b6066054da1405e10,"{""d"":3,""p"":0.001,""rounds"":3}",
      1900,         0,         0,   0.039,belief_find,a4af98a2348b63001f9d7a00f872c5e21389f41851d47b5b6066054da1405e10,"{""d"":3,""p"":0.001,""rounds"":3}",
       100,         0,         0,   0.006,bplsd,53c7f7416be0416bb936906e30bd8f14d49903f37ba41dd4b3e97e4dd4690bd6,"{""d"":3,""p"":0.001,""rounds"":3}",
       200,         6,         0,   0.008,bplsd,53c7f7416be0416bb936906e30bd8f14d49903f37ba41dd4b3e97e4dd4690bd6,"{""d"":3,""p"":0.001,""rounds"":3}",
       600,         2,         0,   0.015,bplsd,53c7f7416be0416bb936906e30bd8f14d49903f37ba41dd4b3e97e4dd4690bd6,"{""d"":3,""p"":0.001,""rounds"":3}",
      1800,         4,         0,   0.036,bplsd,53c7f7416be0416bb936906e30bd8f14d49903f37ba41dd4b3e97e4dd4690bd6,"{""d"":3,""p"":0.001,""rounds"":3}",
      5400,         8,         0,   0.101,bplsd,53c7f7416be0416bb936906e30bd8f14d49903f37ba41dd4b3e97e4dd4690bd6,"{""d"":3,""p"":0.001,""rounds"":3}",
      1900,         8,         0,   0.038,bplsd,53c7f7416be0416bb936906e30bd8f14d49903f37ba41dd4b3e97e4dd4690bd6,"{""d"":3,""p"":0.001,""rounds"":3}",
       100,         1,         0,   0.035,bposd,0303a22be9c90e4634d6ed94e1115e4012a95cd8a1b9979245877e9feaf1effc,"{""d"":5,""p"":0.001,""rounds"":5}",
       200,         0,         0,   0.049,bposd,0303a22be9c90e4634d6ed94e1115e4012a95cd8a1b9979245877e9feaf1effc,"{""d"":5,""p"":0.001,""rounds"":5}",
       600,         0,         0,   0.109,bposd,0303a22be9c90e4634d6ed94e1115e4012a95cd8a1b9979245877e9feaf1effc,"{""d"":5,""p"":0.001,""rounds"":5}",
      1800,         0,         0,   0.267,bposd,0303a22be9c90e4634d6ed94e1115e4012a95cd8a1b9979245877e9feaf1effc,"{""d"":5,""p"":0.001,""rounds"":5}",
      5400,         1,         0,   0.793,bposd,0303a22be9c90e4634d6ed94e1115e4012a95cd8a1b9979245877e9feaf1effc,"{""d"":5,""p"":0.001,""rounds"":5}",
      1900,         1,         0,   0.279,bposd,0303a22be9c90e4634d6ed94e1115e4012a95cd8a1b9979245877e9feaf1effc,"{""d"":5,""p"":0.001,""rounds"":5}",
       100,         0,         0,   0.040,belief_find,f90f70d60fa9beeee341f8969140c3901765bb9acc52e3d3c95e57a888f45f5e,"{""d"":5,""p"":0.001,""rounds"":5}",
       200,         0,         0,   0.058,belief_find,f90f70d60fa9beeee341f8969140c3901765bb9acc52e3d3c95e57a888f45f5e,"{""d"":5,""p"":0.001,""rounds"":5}",
       600,         0,         0,   0.132,belief_find,f90f70d60fa9beeee341f8969140c3901765bb9acc52e3d3c95e57a888f45f5e,"{""d"":5,""p"":0.001,""rounds"":5}",
      1800,         0,         0,   0.341,belief_find,f90f70d60fa9beeee341f8969140c3901765bb9acc52e3d3c95e57a888f45f5e,"{""d"":5,""p"":0.001,""rounds"":5}",
      5400,         2,         0,   0.962,belief_find,f90f70d60fa9beeee341f8969140c3901765bb9acc52e3d3c95e57a888f45f5e,"{""d"":5,""p"":0.001,""rounds"":5}",
      1900,         1,         0,   0.354,belief_find,f90f70d60fa9beeee341f8969140c3901765bb9acc52e3d3c95e57a888f45f5e,"{""d"":5,""p"":0.001,""rounds"":5}",
       100,         0,         0,   0.036,bplsd,3b2569d9ff63647da56695e66b884acaa0452b670b0fbc9c1122560d2d340c8f,"{""d"":5,""p"":0.001,""rounds"":5}",
       200,         1,         0,   0.049,bplsd,3b2569d9ff63647da56695e66b884acaa0452b670b0fbc9c1122560d2d340c8f,"{""d"":5,""p"":0.001,""rounds"":5}",
       600,         0,         0,   0.101,bplsd,3b2569d9ff63647da56695e66b884acaa0452b670b0fbc9c1122560d2d340c8f,"{""d"":5,""p"":0.001,""rounds"":5}",
      1800,         0,         0,   0.268,bplsd,3b2569d9ff63647da56695e66b884acaa0452b670b0fbc9c1122560d2d340c8f,"{""d"":5,""p"":0.001,""rounds"":5}",
      5400,         4,         0,   0.771,bplsd,3b2569d9ff63647da56695e66b884acaa0452b670b0fbc9c1122560d2d340c8f,"{""d"":5,""p"":0.001,""rounds"":5}",
      1900,         0,         0,   0.281,bplsd,3b2569d9ff63647da56695e66b884acaa0452b670b0fbc9c1122560d2d340c8f,"{""d"":5,""p"":0.001,""rounds"":5}",
       100,         0,         0,   0.006,bposd,79084f7763275afb42ccdc41c3ae783b0c6685f650e4920ea7d8246159a6056b,"{""d"":3,""p"":0.003,""rounds"":3}",
       200,         0,         0,   0.007,bposd,79084f7763275afb42ccdc41c3ae783b0c6685f650e4920ea7d8246159a6056b,"{""d"":3,""p"":0.003,""rounds"":3}",
       600,         4,         0,   0.014,bposd,79084f7763275afb42ccdc41c3ae783b0c6685f650e4920ea7d8246159a6056b,"{""d"":3,""p"":0.003,""rounds"":3}",
      1800,        10,         0,   0.034,bposd,79084f7763275afb42ccdc41c3ae783b0c6685f650e4920ea7d8246159a6056b,"{""d"":3,""p"":0.003,""rounds"":3}",
      5400,        40,         0,   0.092,bposd,79084f7763275afb42ccdc41c3ae783b0c6685f650e4920ea7d8246159a6056b,"{""d"":3,""p"":0.003,""rounds"":3}",
      1900,        13,         0,   0.036,bposd,79084f7763275afb42ccdc41c3ae783b0c6685f650e4920ea7d8246159a6056b,"{""d"":3,""p"":0.003,""rounds"":3}",
       100,         0,         0,   0.006,belief_find,12a8722bd419f95d421ed886f3650be6435fbb7d1255393f48597c187ce6c4a8,"{""d"":3,""p"":0.003,""rounds"":3}",
       200,         2,         0,   0.008,belief_find,12a8722bd419f95d421ed886f3650be6435fbb7d1255393f48597c187ce6c4a8,"{""d"":3,""p"":0.003,""rounds"":3}",
       600,         4,         0,   0.018,belief_find,12a8722bd419f95d421ed886f3650be6435fbb7d1255393f48597c187ce6c4a8,"{""d"":3,""p"":0.003,""rounds"":3}",
      1800,        15,         0,   0.047,belief_find,12a8722bd419f95d421ed886f3650be6435fbb7d1255393f48597c187ce6c4a8,"{""d"":3,""p"":0.003,""rounds"":3}",
      5400,        43,         0,   0.136,belief_find,12a8722bd419f95d421ed886f3650be6435fbb7d1255393f48597c187ce6c4a8,"{""d"":3,""p"":0.003,""rounds"":3}",
      1900,        10,         0,   0.051,belief_find,12a8722bd419f95d421ed886f3650be6435fbb7d1255393f48597c187ce6c4a8,"{""d"":3,""p"":0.003,""rounds"":3}",
       100,         1,         0,   0.006,bplsd,fdfa3902a49b2ba705739bf0cd486593c23f688f869623688db5a26a3759c347,"{""d"":3,""p"":0.003,""rounds"":3}",
       200,         4,         0,   0.008,bplsd,fdfa3902a49b2ba705739bf0cd486593c23f688f869623688db5a26a3759c347,"{""d"":3,""p"":0.003,""rounds"":3}",
       600,         5,         0,   0.016,bplsd,fdfa3902a49b2ba705739bf0cd486593c23f688f869623688db5a26a3759c347,"{""d"":3,""p"":0.003,""rounds"":3}",
      1800,        13,         0,   0.040,bplsd,fdfa3902a49b2ba705739bf0cd486593c23f688f869623688db5a26a3759c347,"{""d"":3,""p"":0.003,""rounds"":3}",
      5400,        29,         0,   0.111,bplsd,fdfa3902a49b2ba705739bf0cd486593c23f688f869623688db5a26a3759c347,"{""d"":3,""p"":0.003,""rounds"":3}",
