p,d,rounds,logical_error_rate
0.001,3,3,0.0004446421217579877
0.001,5,5,0.0
0.011,3,3,0.024600207785337336
0.011,5,5,0.02325689939253639
0.020999999999999998,3,3,0.06744679701807088
0.020999999999999998,5,5,0.07946502909620079
0.030999999999999996,3,3,0.10830688833392821
0.030999999999999996,5,5,0.1121586891594466
0.040999999999999995,3,3,0.14714531508940387
0.040999999999999995,5,5,0.12576638366853654
0.05099999999999999,3,3,0.16397315979937888
0.05099999999999999,5,5,0.1326062302140053
0.06099999999999999,3,3,0.19448258426929677
0.06099999999999999,5,5,0.12829178558669674
0.071,3,3,0.1946538616326845
0.071,5,5,0.1293333942359699
0.08099999999999999,3,3,0.19895968673434294
0.08099999999999999,5,5,0.12553824334093022
0.09099999999999998,3,3,0.1939691887091931
0.09099999999999998,5,5,0.12485524712394447
