p,d,rounds,logical_error_rate
0.001,3,3,0.00011112345907682286
0.001,5,5,6.667555733375075e-05
0.011,3,3,0.022618866880228627
0.011,5,5,0.018757260735321135
0.020999999999999998,3,3,0.06962387228847755
0.020999999999999998,5,5,0.0717053319803449
0.030999999999999996,3,3,0.11054838872113038
0.030999999999999996,5,5,0.10801319444269852
0.040999999999999995,3,3,0.14683990604453034
0.040999999999999995,5,5,0.12338269390683909
0.05099999999999999,3,3,0.16876974751845408
0.05099999999999999,5,5,0.1324884897766837
0.06099999999999999,3,3,0.17919175468411752
0.06099999999999999,5,5,0.12691067243008358
0.071,3,3,0.19243291279781627
0.071,5,5,0.1346176683343463
0.08099999999999999,3,3,0.19878656368739966
0.08099999999999999,5,5,0.13449882977841343
0.09099999999999998,3,3,0.19757679177795406
0.09099999999999998,5,5,0.1326062302140053
