p,d,rounds,logical_error_rate
0.001,3,3,0.0008006408547011068
0.001,5,5,4.000320038399785e-05
0.011,3,3,0.027199787374527107
0.011,5,5,0.023740806043993312
0.020999999999999998,3,3,0.06859809843923281
0.020999999999999998,5,5,0.07587231865582567
0.030999999999999996,3,3,0.1103237300783485
0.030999999999999996,5,5,0.11627375474222967
0.040999999999999995,3,3,0.1464737035770024
0.040999999999999995,5,5,0.12626913231669934
0.05099999999999999,3,3,0.16719678159914697
0.05099999999999999,5,5,0.12702543180938697
0.06099999999999999,3,3,0.185674715021528
0.06099999999999999,5,5,0.12778436129422333
0.071,3,3,0.19420869189330003
0.071,5,5,0.1326062302140053
0.08099999999999999,3,3,0.20303231246009712
0.08099999999999999,5,5,0.12792263264529335
0.09099999999999998,3,3,0.2046098456575134
0.09099999999999998,5,5,0.1307066555380587
