p,d,rounds,logical_error_rate
0.001,3,3,0.0005003408527011068
0.001,5,5,3.000120038393785e-05
0.011,3,3,0.023620187240154356
0.011,5,5,0.019592864861882386
0.020999999999999998,3,3,0.06668083921747492
0.020999999999999998,5,5,0.07152584730566991
0.030999999999999996,3,3,0.10638260561923552
0.030999999999999996,5,5,0.11594608455750532
0.040999999999999995,3,3,0.14619925780361187
0.040999999999999995,5,5,0.12442378315627556
0.05099999999999999,3,3,0.1654701632112776
0.05099999999999999,5,5,0.1299374919477324
0.06099999999999999,3,3,0.18527277750069604
0.06099999999999999,5,5,0.13281832424127415
0.071,3,3,0.20261269006452243
0.071,5,5,0.13274760317723133
0.08099999999999999,3,3,0.1997917208966037
0.08099999999999999,5,5,0.12896247348224177
0.09099999999999998,3,3,0.20608787695815933
0.09099999999999998,5,5,0.13190074431167198
