p,d,rounds,logical_error_rate
0.001,3,3,0.0003334445062139757
0.001,5,5,0.0
0.011,3,3,0.027411173781143994
0.011,5,5,0.026947005306602878
0.020999999999999998,3,3,0.07206919362520525
0.020999999999999998,5,5,0.08424948100068641
0.030999999999999996,3,3,0.1197727859439438
0.030999999999999996,5,5,0.11913412628242148
0.040999999999999995,3,3,0.14122884476493391
0.040999999999999995,5,5,0.1196884790650996
0.05099999999999999,3,3,0.17820342351229135
0.05099999999999999,5,5,0.13026347151615036
0.06099999999999999,3,3,0.18988536567979275
0.06099999999999999,5,5,0.130030579120062
0.071,3,3,0.19482521188006208
0.071,5,5,0.1273700724885677
0.08099999999999999,3,3,0.20226334180079852
0.08099999999999999,5,5,0.12519647861043914
0.09099999999999998,3,3,0.20859904269498164
0.09099999999999998,5,5,0.1250826756247495
